id,strava_activity_id,activity_name,distance,elapsed_time,moving_time,date,elevation_gain,average_heartrate,max_heartrate,final_time,final_distance,event_name,has_polyline,polyline_length,source,year,month,day_of_week,hour,pace_min_per_km,distance_km,time_minutes,is_parkrun,distance_category
3116,10838948864,MNT Magic Mile,1672.7,333,333,2024-02-26 18:58:31+00:00,7.0,167.8,183.0,333,1672.7,,1,204.0,oauth,2024,2,0,18,3.3179888802534823,1.6727,5.55,False,<5km
3117,10782765959,SMC 10k,9941.8,2392,2392,2024-02-18 07:34:31+00:00,29.0,179.9,194.0,2392,9941.8,,1,1003.0,oauth,2024,2,6,7,4.010004895156478,9.941799999999999,39.86666666666667,False,5-10km
656,10783158759,SMC - 30km,30031.5,11256,11127,2024-02-18 06:11:06+00:00,105.0,142.7,155.0,11127,30031.5,SMC 30k,1,1223.0,oauth,2024,2,6,6,6.17518272480562,30.0315,185.45,False,21-42km
657,10682999208,Sun Run - Dee Why to Manly - 49:22,10052.1,2961,2961,2024-02-03 06:32:29+00:00,94.0,154.6,165.0,2961,10052.1,Sun Run,1,879.0,oauth,2024,2,5,6,4.909421911839317,10.052100000000001,49.35,False,10-15km
3118,10597178937,SMC 10k,9934.5,2455,2455,2024-01-21 07:31:26+00:00,31.0,175.7,191.0,2455,9934.5,,1,1003.0,oauth,2024,1,6,7,4.1186437834482525,9.9345,40.916666666666664,False,5-10km
4390,10464661675,São Silvestre de Lisboa 2023,10141.2,2862,2862,2023-12-30 21:31:35+00:00,65.0,160.6,174.0,2862,10141.2,São Silvestre de Lisboa,1,816.0,oauth,2023,12,5,21,4.703585374511892,10.141200000000001,47.7,False,10-15km
660,10355416995,Port Stephens Half Marathon - 1:58:09,20822.5,7090,7035,2023-12-10 08:00:02+00:00,138.0,145.0,160.0,7035,20822.5,,1,1154.0,oauth,2023,12,6,8,5.630928082602953,20.8225,117.25,False,15-21km
839,10242303188,Kids run with Hazel,2625.7,1159,1153,2023-11-19 09:32:01+00:00,23.1,118.6,139.0,1153,2625.7,,1,328.0,oauth,2023,11,6,9,7.318683271762451,2.6256999999999997,19.216666666666665,False,<5km
840,10236851827,Stromlo 50,50233.2,19687,19429,2023-11-18 06:00:25+00:00,1050.4,160.1,199.0,19429,50233.2,,1,1309.0,oauth,2023,11,5,6,6.4462679396627465,50.2332,323.81666666666666,False,>42km
2518,10116278531,"Bondi to Manly, finish",192.8,45,45,2023-10-28 14:07:53+00:00,2.0,95.7,128.0,45,192.8,,1,27.0,oauth,2023,10,5,14,3.8900414937759336,0.1928,0.75,False,<5km
2519,10115153804,"Leg 1 Bondi to Manly, Wounded Woodies🤠",18613.7,6197,6173,2023-10-28 06:06:51+00:00,427.0,172.9,189.0,6173,18613.7,,1,1098.0,oauth,2023,10,5,6,5.527290830588939,18.6137,102.88333333333334,False,15-21km
3119,10080389887,Panorama Punish,6146.8,1685,1685,2023-10-22 08:00:07+00:00,185.0,170.3,181.0,1685,6146.8,,1,473.0,oauth,2023,10,6,8,4.568772911650506,6.1468,28.083333333333332,False,5-10km
666,10039661547,Melbourne Half Marathon - 1:49:54,21229.2,6595,6595,2023-10-15 08:01:44+00:00,83.0,154.0,167.0,6595,21229.2,,1,1141.0,oauth,2023,10,6,8,5.177616992946821,21.229200000000002,109.91666666666667,False,21-42km
4391,10039340159,BBBrun 2023,10064.0,2970,2970,2023-10-15 07:24:34+00:00,36.0,150.0,161.0,2970,10064.0,BBB,1,778.0,oauth,2023,10,6,7,4.918521462639109,10.064,49.5,False,10-15km
3120,10039317529,BBBRun,9963.0,2448,2448,2023-10-15 07:24:29+00:00,35.0,174.1,188.0,2448,9963.0,,1,826.0,oauth,2023,10,6,7,4.095152062631738,9.963,40.8,False,5-10km
3121,9960383293,Woodies Magic Mile,1653.4,357,357,2023-10-02 19:02:53+00:00,8.0,154.7,190.0,357,1653.4,,1,180.0,oauth,2023,10,0,19,3.598645215918713,1.6534,5.95,False,<5km
842,9945919872,Camel to Club Bermagui,6801.1,1926,1922,2023-09-30 09:22:20+00:00,47.8,158.4,176.0,1922,6801.1,,1,518.0,oauth,2023,9,5,9,4.710022398337523,6.8011,32.03333333333333,False,5-10km
2521,9864079664,Sydney Marathon-1st one so a PB 🤠,42451.2,13354,13346,2023-09-17 07:26:36+00:00,297.0,171.2,200.0,13346,42451.2,,1,1228.0,oauth,2023,9,6,7,5.239741946831499,42.4512,222.43333333333334,False,>42km
670,9864061514,Sydney Marathon - 4:27:55,42357.4,16077,15856,2023-09-17 07:20:24+00:00,337.0,148.2,164.0,15856,42357.4,,1,1244.0,oauth,2023,9,6,7,6.238972804437163,42.3574,264.26666666666665,False,>42km
4392,9863946773,Sydney Marathon 2023,40979.9,15199,14604,2023-09-17 07:17:48+00:00,358.4,152.3,168.0,14604,40979.9,Sydney Marathon,1,1235.0,oauth,2023,9,6,7,5.939497168123885,40.9799,243.4,False,21-42km
843,9863889164,Sydney marathon,42550.9,13339,13336,2023-09-17 07:15:00+00:00,411.0,158.0,177.0,13336,42550.9,,1,1239.0,oauth,2023,9,6,7,5.223547954724029,42.5509,222.26666666666668,False,>42km
672,9727172585,Lake Macquarie Half Marathon - 1:43:32,21183.5,6214,6214,2023-08-27 07:15:13+00:00,62.0,154.3,166.0,6214,21183.5,,1,1116.0,oauth,2023,8,6,7,4.889025263373223,21.1835,103.56666666666666,False,21-42km
